OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUNDED,DATAQUALITY,FLAGS,SHAPE_Length
1,12221,PINE ST,894,Y,1970/01/01 00:00:00+00,,,8000,,8000,Estimate,,322.037238488557
2,2203,15TH AVE W ON RP,1345,N,2015/03/13 00:00:00+00,,,11129,10139,11100,Study - 13-15,,173.612268661763
3,"17275,17277,17276,17272,17273,17274,17271",NE 65TH ST,1622,N,2015/02/27 00:00:00+00,,,20487,19740,20500,Study - 13-15,,1445.41638879353
4,"23302,23303,23304",W EMERSON ST,1371,N,2018/03/22 00:00:00+00,82,99,1007,1090,1000,Study(Normalized),,999.190937477553
5,"19659,19656,19658,19655,19657,19654",S CLOVERDALE ST,126,N,2014/03/25 00:00:00+00,,,4868,4615,4900,Study - 13-15,,2077.43484437516
6,8173,7TH AVE NE,1959,N,2015/01/06 00:00:00+00,,,31969,30344,32000,Study - 13-15,,259.931362047804
7,"22522,503975",KLICKITAT AVE SW,416,N,2018/08/29 00:00:00+00,503,448,4204,3249,4200,Study(Normalized),,1217.66296844123
8,16751,NE 40TH ST,1380,N,1970/01/01 00:00:00+00,,,12000,,12000,Estimate,,166.752652907876
9,"21699,21697,21694,21700,21693,351697,21696,21702,21692,21691,21698,21701,21703",SW ADMIRAL WAY,460,N,2015/04/07 00:00:00+00,,,25222,23875,25200,Study - 13-15,,5797.16372341431
10,10022,DENNY WAY,1039,B,1970/01/01 00:00:00+00,,,23500,,23500,Estimate,,165.93300045024
11,"11650,11651,11652,11649",MARINE VIEW DR SW,52,N,1970/01/01 00:00:00+00,,,2000,,2000,Estimate,,2031.93562948363
12,"10947,10933,10934","HOLMAN RD NW,HOLMAN RD N",1831,N,1970/01/01 00:00:00+00,,,33500,,33500,Estimate,,1629.42234000444
13,"2153,2151,2152",15TH AVE S,375,N,2017/12/13 11:15:00+00,912,1002,10835,9557,10800,Study,,898.373909279396
14,"167707,167708,269077,269079,269145,9157,269075,269146,268935,268934,269078,167709",BEACON AVE S,158,N,2015/11/05 00:00:00+00,,,3202,2970,7500,Study - 13-15,Combined,5403.54564281165
15,"12747,12743,12742,12746,12745,12744,16506,16504,16505,16507,16508","SAND POINT WAY NE,NE 125TH ST",1870,N,2015/11/03 00:00:00+00,,,10842,4953,10800,Study - 13-15,,5313.54967883649
16,2757,2ND AVE,789,Y,2014/12/08 00:00:00+00,,,15481,14677,15500,Study - 13-15,,425.90556816893
17,"10499,10502,10501,10500",FREMONT AVE N,1525,N,2018/02/01 11:30:00+00,349,337,4170,4122,4200,Study,,1059.7404428415
18,"15076,15075",N 115TH ST,1861,N,2018/01/17 08:30:00+00,745,741,9513,8321,9500,Study,,2648.27260462724
19,"23358,11606,11607","W GALER ST,MAGNOLIA BLVD W",1219,N,2018/01/25 09:30:00+00,787,787,9620,9023,9600,Study,,2097.67343878273
20,"10372,10382,10371",FAUNTLEROY WAY SW,335,N,1970/01/01 00:00:00+00,,,37000,,37000,Estimate,,515.000656259121
21,"17265,17264,17263",NE 65TH ST,1626,N,2015/02/27 00:00:00+00,,,17084,16160,17100,Study - 13-15,,918.568838404348
22,"2047,2046,2045",15TH AVE NE,1623,N,2014/10/22 00:00:00+00,,,11603,10828,11600,Study - 13-15,,1341.5951415554
23,13497,WESTERN AVE,641,Y,2018/07/18 00:00:00+00,541,581,7103,6344,6900,Study(Normalized),,305.947518742177
24,12886,SR509 SB,112,N,2015/05/06 00:00:00+00,,,32333,29296,32300,Study - 13-15,WSDOT,3868.65814176298
25,"11164,11163",LAKE CITY WAY NE,1837,N,2018/10/20 00:00:00+00,1347,3083,27506,25860,27500,Study(Normalized),,1420.20382815314
26,13202,UNIVERSITY ST,761,Y,1970/01/01 00:00:00+00,,,7691,8123,7700,Estimate,,321.930179933255
27,"17987,17986",NE CAMPUS PKWY,1395,N,2018/06/15 00:00:00+00,44,56,608,591,600,Study(Normalized),,708.679715452618
28,8524,9TH AVE,992,Y,2018/03/13 00:00:00+00,379,573,4861,4062,4700,Study(Normalized),,425.895755142112
29,"10187,10186,1407,1406","EASTLAKE AVE NE,11TH AVE NE",1419,N,1970/01/01 00:00:00+00,,,10000,,10000,Estimate,,1470.2444384957
30,"14362,14363,14364,14361",E MADISON ST,1147,N,2015/07/27 00:00:00+00,,,15524,0,15500,Study - 13-15,,1391.27660152005
31,"21634,21633,21630,21632,21631",SW 106TH ST,53,N,2015/09/17 00:00:00+00,,,3270,3056,3300,Study - 13-15,,1555.31401375101
32,"2657,2659,2660,2658,2656",19TH AVE E,1173,N,2017/11/30 11:45:00+00,649,613,6736,6361,6700,Study,,2321.87814098426
33,"11489,11488,11486,11487",M L KING JR WAY,850,N,2017/11/30 11:00:00+00,1267,1388,15115,14071,15100,Study,,1803.44891865018
34,"9559,9556,9558,9557,9561,9562,9560,9555",CALIFORNIA AVE SW,287,N,2015/08/10 00:00:00+00,,,13156,12616,13200,Study - 13-15,,4612.24913457435
35,21820,SW AVALON WAY,330,N,2018/06/01 00:00:00+00,1765,1655,20746,19856,20200,Study(Normalized),,984.368302613656
36,"14321,14320,14728,14729,9953,9955,9954","E LYNN ST,E ROANOKE ST,DELMAR DR E",1260,N,2017/11/29 08:30:00+00,730,651,7141,6659,7100,Study,,2911.17413409628
37,9729,COLUMBIA ST,655,Y,1970/01/01 00:00:00+00,,,7500,,7500,Estimate,,322.020597375229
38,"12909,12908",STEWART ST,1029,B,2018/07/31 00:00:00+00,3696,709,19007,16218,18400,Study(Normalized),,643.91992569975
39,2750,2ND AVE,645,Y,1970/01/01 00:00:00+00,,,14000,,14000,Estimate,,305.964327921227
40,6262,4TH AVE S,207,N,1970/01/01 00:00:00+00,,,9500,,9500,Estimate,,527.70903220478
41,"20697,20696,20695,20698",S LUCILE ST,268,N,2018/06/28 00:00:00+00,763,1087,11443,10308,11200,Study(Normalized),,1449.81157981301
42,"17507,17508,17509",NE 75TH ST,28,N,1970/01/01 00:00:00+00,,,19500,,19500,Estimate,,544.402822865801
43,21739,SW ALASKA ST,302,N,2018/06/01 00:00:00+00,326,384,4947,4872,4800,Study(Normalized),,334.18283262795
44,"2134,2133,2138,2141,2139,2142,2135,2137,2132,2140,2136",15TH AVE S,36,N,2017/10/23 11:15:00+00,974,999,11923,11667,11900,Study,,4550.71139203131
45,13537,WESTLAKE AVE N,1159,N,1970/01/01 00:00:00+00,,,18000,,18000,Estimate,,412.934866965968
46,7242,5TH AVE,906,Y,1970/01/01 00:00:00+00,,,13000,,13000,Estimate,,425.995785439631
47,"15264,15260,15262,15261,15263",N 145TH ST,1936,N,2015/12/16 00:00:00+00,,,13624,12874,13600,Study - 13-15,,1911.99493686134
48,17895,NE 95TH ST,1806,N,1970/01/01 00:00:00+00,,,10000,,10000,Estimate,,141.831805394262
49,"3723,3724",25TH AVE NE,1549,N,2017/11/02 14:00:00+00,1173,1532,18210,17455,18200,Study,,824.026345772566
50,484894,M L KING JR WAY S,309,N,1970/01/01 00:00:00+00,,,20000,,32000,Estimate,Combined,828.008934614292
51,"9993,9989,9992,9991,9990",DELRIDGE WAY SW,109,N,2015/05/05 00:00:00+00,,,14195,13673,14200,Study - 13-15,,1715.31954846403
52,6122,4TH AVE,649,Y,2018/08/14 00:00:00+00,2093,1874,23819,22548,23900,Study(Normalized),,306.999844549162
53,"2962,2963",20TH AVE NE,1543,N,2018/10/04 00:00:00+00,420,584,6037,5759,6000,Study(Normalized),,1149.73283288962
54,"12855,12854",SPOKANE ST - W SEA B RP,393,N,2015/04/03 00:00:00+00,,,7636,6158,7600,Study - 13-15,,1022.57680405918
55,13180,UNION ST,773,Y,2018/07/16 00:00:00+00,632,528,8174,8516,7900,Study(Normalized),,322.067022835648
56,8152,7TH AVE,682,Y,2018/06/05 00:00:00+00,796,745,10611,10585,10400,Study(Normalized),,306.666897781291
57,"4626,4627,12481,12483,12482,12480","30TH AVE NE,RAVENNA AVE NE",1835,N,2018/03/12 00:00:00+00,440,268,2310,2004,2300,Study(Normalized),,3352.75150595927
58,"20799,20800",S MCCLELLAN ST,443,N,2018/03/29 00:00:00+00,480,630,6434,6040,6300,Study(Normalized),,433.521766784441
59,12561,REPUBLICAN ST,1117,N,1970/01/01 00:00:00+00,,,2300,,2300,Estimate,,321.821115443341
60,"6876,6877,11643","45TH AVE SW,MARINE VIEW DR SW",86,N,2015/06/05 00:00:00+00,,,4801,4672,4800,Study - 13-15,,1892.88721113958
61,8159,7TH AVE,899,Y,1970/01/01 00:00:00+00,,,7500,,7500,Estimate,,426.806495453536
62,"15902,15901",N 80TH ST,1741,N,2018/02/01 07:45:00+00,973,1187,13836,13290,13800,Study,,453.926648731684
63,15161,N 130TH ST,1906,N,2018/05/01 00:00:00+00,1027,1124,13776,13339,12700,Study(Normalized),,792.158531001916
64,"22518,1509","SW KLICKITAT WAY,11TH AVE SW",385,N,2015/04/03 00:00:00+00,,,1142,917,1100,Study - 13-15,,582.472651816478
65,13710,WOODLAWN AVE NE,1681,N,2018/10/25 00:00:00+00,315,331,3659,3628,3700,Study(Normalized),,290.110524914909
66,"12731,12725,567746,12730,12724,12726,12727,12734,12728,12732,12729,12733",SAND POINT WAY NE,1800,N,2015/10/28 00:00:00+00,,,12607,11672,12600,Study - 13-15,,7866.7856402508
67,"503971,22519,11134",KLICKITAT AVE SW,417,N,2018/08/29 00:00:00+00,396,151,2501,2004,2500,Study(Normalized),,1191.68498583745
68,"4465,4463,4466,4464,4461,4462,4468,4469,4467,4471,4470",3RD AVE NW,1750,N,2015/11/16 00:00:00+00,,,8854,8401,8900,Study - 13-15,,4007.2334229653
69,"12620,12621,12622",ROOSEVELT WAY NE,1944,N,2017/07/27 10:30:00+00,1247,1242,13474,12708,13500,Study,,760.142181659774
70,"12779,12780",SENECA ST,810,Y,2015/09/22 00:00:00+00,,,6597,5714,6600,Study - 13-15,,644.305936862357
71,"3181,20803,20806,20807,20805,20802,20804","21ST AVE S,S MCCLELLAN ST",446,N,2018/03/29 00:00:00+00,368,446,4719,4402,4600,Study(Normalized),,1966.22717701324
72,"12736,12740,12741,12737,12735,12738,12739",SAND POINT WAY NE,1840,N,2013/11/20 00:00:00+00,,,9773,9055,9800,Study - 13-15,,4324.39721018508
73,2035,15TH AVE NE,1478,N,2017/08/31 09:45:00+00,757,852,9327,8205,9300,Study,,664.526423487553
74,8706,AIRPORT WAY S,524,N,2018/06/18 00:00:00+00,1705,936,12949,10505,12600,Study(Normalized),,492.377607199095
75,"9818,9819,9817",CORNELL AVE S,42,N,2018/01/18 10:00:00+00,397,368,4108,3947,4100,Study,,1337.402249259
76,13204,UNIVERSITY ST,780,Y,2015/12/01 00:00:00+00,,,9607,9238,9600,Study - 13-15,,323.982200371844
77,"7871,7872",6TH AVE,653,Y,2018/08/14 00:00:00+00,1476,1443,20781,20455,20800,Study(Normalized),,370.748762966719
78,"20771,20768,20770,20769,20767",S MASSACHUSETTS ST,498,N,2018/03/27 00:00:00+00,292,315,3534,3306,3400,Study(Normalized),,1164.18166455358
79,"6312,6310,6313,6311",40TH AVE NE,1546,N,2015/10/22 00:00:00+00,,,4445,4080,4400,Study - 13-15,,1999.76503728687
80,13768,YESLER WAY,601,Y,2018/09/25 00:00:00+00,705,642,9471,9125,10000,Study(Normalized),,421.748561907008
81,"15294,15291,15292,15290,15293",N 34TH ST,1290,N,2017/10/17 11:00:00+00,993,984,12413,12170,12400,Study,,1602.42452136332
82,12198,PIKE ST,794,Y,1970/01/01 00:00:00+00,,,7500,,7500,Estimate,,322.168975944562
83,"3613,3609,3610,3612,603613,3611",24TH AVE NW,1808,N,2018/02/05 10:00:00+00,297,229,2396,2228,2400,Study,,3065.24836217698
84,"9815,9816",CORNELL AVE S,54,N,1970/01/01 00:00:00+00,,,1500,,1500,Estimate,,761.673910772369
85,"14071,14073,14076,14074,14072,14075",EAST GREEN LAKE WAY N,1618,N,2013/01/22 00:00:00+00,,,17040,16928,17000,Study - 13-15,,2861.63486427417
86,"10963,10964",HOWELL ST,1010,B,2018/09/13 00:00:00+00,817,1460,15729,14482,16600,Study(Normalized),,645.234065753032
87,18037,NE PACIFIC PL,1311,N,2018/03/12 00:00:00+00,720,728,9355,8677,9100,Study(Normalized),,958.722888872438
88,"10860,10859,10862,10861",HARVARD AVE E,1308,N,2014/10/22 00:00:00+00,,,8688,8053,8700,Study - 13-15,,1787.0804688263
89,"2763,2764,2762",2ND AVE,951,Y,2015/03/03 00:00:00+00,,,11274,10690,11300,Study - 13-15,,1278.3859316166
90,"21821,21822",SW AVALON WAY,327,N,2018/06/01 00:00:00+00,889,809,11405,10838,11100,Study(Normalized),,373.872400017583
91,"5394,5393,5391,5392,5395",35TH AVE NE,1869,N,2017/10/31 11:45:00+00,1003,1246,12045,11606,12000,Study,,2720.235703954
92,"16491,16488,16492,16487,16495,16484,16499,16496,16493,16486,16490,16485,16494,16498,16489",NE 125TH ST,1876,N,2015/07/28 00:00:00+00,,,17719,17780,17700,Study - 13-15,,4028.4790207767
93,"19309,19307,19306,19308,19305,19310",S ALASKA ST,291,N,2017/10/19 10:45:00+00,819,1020,12706,12402,12700,Study,,1534.43141262142
94,9411,BROAD ST,993,Y,2014/08/18 00:00:00+00,,,7502,6989,7500,Study - 13-15,,322.037795016974
95,7888,6TH AVE,935,Y,2018/07/26 00:00:00+00,892,695,10968,10535,10600,Study(Normalized),,246.180113696916
96,"4437,4448,4451,4435,4444,4442,4445,4449,4441,4453,4436,4438,4446,4443,4447,4439,4440,4450,4452",3RD AVE NW,1534,N,2015/07/17 00:00:00+00,,,3210,2923,3200,Study - 13-15,,4370.76233826641
97,"20242,20243,20241,20244",S HENDERSON ST,101,N,2015/07/22 00:00:00+00,,,9392,9151,9400,Study - 13-15,,1585.56311506731
98,12901,STEWART ST,891,Y,1970/01/01 00:00:00+00,,,9500,,9500,Estimate,,165.807692010595
99,"12453,12455",RAVENNA AVE NE,1555,N,2018/01/31 11:45:00+00,336,398,4159,4009,4200,Study,,532.470793113387
100,"13328,13329,531032",WEST SEATTLE BR EB,13,N,2014/10/30 00:00:00+00,,,95580,89725,95600,Study - 13-15,,3185.98029367778
101,"8961,8962",AURORA AVE N,1951,N,1970/01/01 00:00:00+00,,,38500,,38500,Estimate,,528.848750740929
102,"20911,13047,13042,13043,13045,13046,13044,13049,13048","S MYRTLE ST,SWIFT AVE S",224,N,2013/04/15 00:00:00+00,,,11444,11146,11400,Study - 13-15,,4305.09832542809
103,16539,NE 130TH ST,1940,N,1970/01/01 00:00:00+00,,,25000,,25000,Estimate,,472.336604187749
104,"336463,1232","2ND AVE SW,1ST AVE S",163,N,2018/06/07 00:00:00+00,713,690,8907,8722,8700,Study(Normalized),,376.439595973623
105,"11456,11458,11457,11459,11460,11453,11455",LINDEN AVE N,1913,N,2014/06/19 00:00:00+00,,,4443,4189,4400,Study - 13-15,,3985.46295904506
106,"23475,4758,4759,4907","W JAMESON ST,30TH AVE W,31ST AVE W",1439,N,2018/01/22 10:00:00+00,49,65,622,597,600,Study,,2434.46336200597
107,"10090,10091",DEXTER AVE N,1249,N,2018/01/18 09:00:00+00,567,833,7995,7407,8000,Study,,1022.87133258716
108,"1211,1210",1ST AVE S,421,N,2015/12/14 00:00:00+00,,,22200,18460,22200,Study - 13-15,,684.13840656175
109,"20774,20773,20772",S MASSACHUSETTS ST,496,N,2018/03/27 00:00:00+00,807,823,11316,10861,11000,Study(Normalized),,798.142853950062
110,"16841,16842",NE 45TH ST,1455,N,1970/01/01 00:00:00+00,,,27000,,27000,Estimate,,530.174984009843
111,9403,BRIDGE WAY N,1329,N,1970/01/01 00:00:00+00,,,6000,,6000,Estimate,,239.435838621837
112,"1921,1922,1920",14TH AVE S,594,N,1970/01/01 00:00:00+00,,,10000,,10000,Estimate,,904.234697430563
113,21868,SW BRACE POINT DR,87,N,2015/10/23 00:00:00+00,,,1141,1092,1100,Study - 13-15,,357.224636921798
114,19226,NW MARKET ST,1564,N,2017/09/21 12:00:00+00,1845,2114,28649,27509,28600,Study,,647.013700318604
115,"6236,6235",4TH AVE S,500,N,1970/01/01 00:00:00+00,,,29000,,29000,Estimate,,1155.57656224948
116,"20909,20908",S MYRTLE ST,189,N,2018/08/29 00:00:00+00,135,163,2000,1819,2000,Study(Normalized),,374.870516775452
117,23400,WEST GREEN LAKE WAY N,1639,N,2018/05/24 00:00:00+00,284,358,4175,4106,3800,Study(Normalized),,752.216371324974
118,"12437,12432,12436,12435,12430,12431,12434,12433",RAINIER AVE S,84,N,1970/01/01 00:00:00+00,,,19000,,19000,Estimate,,5167.44020859662
119,"1234,1233",1ST AVE S,38,N,2018/06/07 00:00:00+00,459,445,5772,5329,5600,Study(Normalized),,2952.37484175813
120,4489,3RD AVE NW,1826,N,2018/04/11 00:00:00+00,554,800,8231,7851,8400,Study(Normalized),,396.265876478519
121,"13706,13708,13707",WOODLAWN AVE NE,1668,N,2018/10/25 00:00:00+00,475,516,5395,5182,5400,Study(Normalized),,725.031165221075
122,"14940,14943,14941,14946,14942,14944,14945,14939,14938",E YESLER WAY,595,N,2015/07/20 00:00:00+00,,,8300,8637,8300,Study - 13-15,,2916.86730570511
123,"20985,20987,613379,20984,20988,20983,164794,20982,20989,20986",S ORCAS ST,258,N,2018/04/10 00:00:00+00,336,373,4403,4318,4500,Study(Normalized),,3380.27308364745
124,12218,PINE ST,844,Y,2015/12/01 00:00:00+00,,,8717,8666,8700,Study - 13-15,,322.141724595657
125,"10352,10350,662321",FAIRVIEW AVE N,1161,N,1970/01/01 00:00:00+00,,,13492,,13500,Estimate,,465.535575596774
126,"4635,4637,4640,4638,4641,4639,4633,4636,4634",30TH AVE NE,1919,N,2015/06/18 00:00:00+00,,,6591,5961,6600,Study - 13-15,,5293.74189738629
127,18080,NE RAVENNA BLVD,1677,N,2018/10/25 00:00:00+00,86,96,996,966,1000,Study(Normalized),,350.050853140834
128,16752,NE 41ST ST,1408,N,1970/01/01 00:00:00+00,,,2000,,2000,Estimate,,158.412018741095
129,"18888,18887",NW 80TH ST,1753,N,2018/02/01 08:30:00+00,1099,1207,14631,14027,14600,Study,,1318.1566225126
130,"11188,11189,11190",LAKE CITY WAY NE,1917,N,2015/05/20 00:00:00+00,,,49254,44597,49300,Study - 13-15,,1993.79220908552
131,"12295,12296,12294",QUEEN ANNE AVE N,1103,N,1970/01/01 00:00:00+00,,,10000,,10000,Estimate,,1277.16825155794
132,2755,2ND AVE,737,Y,1970/01/01 00:00:00+00,,,16500,,16500,Estimate,,305.954501482463
133,"13153,13154,13156,13159,13155,13158,13152,13150,13151,13157",THORNDYKE AVE W,1271,N,2018/02/21 08:15:00+00,343,422,4687,4566,4700,Study,,3219.75245831474
134,"19227,19229,19230,19231",NW MARKET ST,1567,N,2017/09/21 12:00:00+00,1322,1470,20404,19803,20400,Study,,1457.53265879872
135,"9547,9543,9545,9546,9544",CALIFORNIA AVE SW,425,N,2018/02/14 13:15:00+00,1007,1370,15261,14370,15300,Study,,1982.45729740201
136,"13125,13126,13127,16777,2799","THACKERAY PL NE,NE 42ND ST,2ND AVE NE",1456,N,2017/11/16 10:15:00+00,165,180,2212,2199,2200,Study,,2257.23891274466
137,6141,4TH AVE,1001,Y,2018/02/05 08:45:00+00,285,293,3505,3344,3500,Study,,306.504026261993
138,"22367,22365,22366,22362,22364,22363",SW HOLDEN ST,157,N,2018/01/24 12:15:00+00,1196,1418,16123,14892,16100,Study,,2036.58572828636
139,12197,PIKE ST,788,Y,1970/01/01 00:00:00+00,,,4500,,4500,Estimate,,321.873555081785
140,"4935,4938,4936,4937",32ND AVE E,1121,N,2018/04/05 00:00:00+00,248,290,3050,2807,3100,Study(Normalized),,1750.16169758231
141,"12356,12353,12357,12358,12354,12355,573625",RAINIER AVE S,495,N,1970/01/01 00:00:00+00,,,36000,,36000,Estimate,,1585.01646186323
142,13149,THORNDYKE AVE W,1215,N,2018/06/27 00:00:00+00,213,299,3250,3123,3200,Study(Normalized),,388.960174036452
143,"2143,2144",15TH AVE S,456,N,2017/11/15 10:45:00+00,757,713,9910,9227,9900,Study,,715.15233867408
144,"13309,13308,337306",VIRGINIA ST,823,Y,1970/01/01 00:00:00+00,,,2500,,2500,Estimate,,372.729354308943
145,"14589,14588,14587,14586,14585,14590,14591",E OLIVE WAY,1086,B,2017/10/25 11:30:00+00,1059,1236,18764,18695,18800,Study,,1385.28603941008
146,"8526,8525",9TH AVE,1023,Y,2014/03/05 00:00:00+00,,,4031,3566,4000,Study - 13-15,,830.913525585887
147,12600,ROOSEVELT WAY NE,1510,N,1970/01/01 00:00:00+00,,,12000,,12000,Estimate,,663.745198338029
148,9332,BOREN AVE S,598,N,1970/01/01 00:00:00+00,,,13500,,13500,Estimate,,222.544563392976
149,10008,DENNY WAY,1058,B,1970/01/01 00:00:00+00,,,25000,,25000,Estimate,,306.794056271647
150,9959,DELRIDGE WAY SW,356,N,1970/01/01 00:00:00+00,,,17000,,17000,Estimate,,637.988355687254
151,12609,ROOSEVELT WAY NE,1599,N,2013/10/02 00:00:00+00,,,10775,10349,10800,Study - 13-15,,92.6814562128502
152,"14346,14347",E MADISON ST,943,N,2017/09/14 09:15:00+00,1199,1177,15903,15053,15900,Study,,464.823009844648
153,7887,6TH AVE,920,Y,1970/01/01 00:00:00+00,,,7500,,7500,Estimate,,179.809022503934
154,22840,SW SPOKANE ST,400,N,1970/01/01 00:00:00+00,,,19500,,19500,Estimate,,552.218859505529
155,"9960,9961",DELRIDGE WAY SW,348,N,2015/04/08 00:00:00+00,,,13965,12877,14000,Study - 13-15,,1320.06450651864
156,"7528,7527,7526,7525",51ST AVE S,80,N,2018/01/18 12:30:00+00,740,789,9865,9437,9900,Study,,1110.68073321262
157,"20811,20808,20809,20810,20812",S MCCLELLAN ST,440,N,2018/10/09 00:00:00+00,640,787,9046,8691,9000,Study(Normalized),,1277.13588027623
158,"5326,5327,5324,5325",34TH AVE W,1360,N,2015/07/30 00:00:00+00,,,4664,4518,4700,Study - 13-15,,2638.64275672335
159,"9436,9435",BROADWAY,707,N,1970/01/01 00:00:00+00,,,9500,,9500,Estimate,,613.486319756952
160,"10073,10072,10071,10074",DEXTER AVE N,1118,N,2014/01/23 00:00:00+00,,,11860,10840,11900,Study - 13-15,,1704.79112370651
161,13522,WESTERN AVE W,1098,N,1970/01/01 00:00:00+00,,,35000,,35000,Estimate,,203.426443433819
162,"11482,11481,11484,11485,11483",M L KING JR WAY,740,N,2015/05/12 00:00:00+00,,,17269,15958,17300,Study - 13-15,,2326.59205968738
163,"13544,13542,13543",WESTLAKE AVE N,1279,N,1970/01/01 00:00:00+00,,,25000,,25000,Estimate,,2037.81298243268
164,"10015,10017,10016",DENNY WAY,1046,B,2015/02/03 00:00:00+00,,,33282,32655,33300,Study - 13-15,,780.323346853143
165,11369,LENORA ST,915,Y,2017/10/18 13:00:00+00,418,561,6904,6632,6900,Study,,321.985359927464
166,23611,W NICKERSON ST,1320,N,1970/01/01 00:00:00+00,,,18000,,18000,Estimate,,463.948189161778
167,12314,QUEEN ANNE AVE N,1231,N,2018/01/24 08:00:00+00,690,776,10341,10078,10300,Study,,442.573230383265
168,"16786,16785,16787",NE 42ND ST,1411,N,2018/01/23 08:45:00+00,286,380,3741,3398,3700,Study,,750.181051166244
169,"18038,18039,18040,18041,15295,15297,15296,16140,16138,16141,16139,16137,16135,16136","NE PACIFIC ST,N 34TH ST,N PACIFIC ST",1374,N,2015/10/20 00:00:00+00,,,11227,10181,11200,Study - 13-15,,4571.34994793659
170,8280,8TH AVE,882,Y,2018/09/13 00:00:00+00,625,898,9082,8627,9600,Study(Normalized),,426.045107701774
171,12041,OLIVE WAY,846,Y,1970/01/01 00:00:00+00,,,1500,,1500,Estimate,,328.00078322095
172,"10665,10662,10664,10666,10663,12764,5003","GOLDEN GARDENS DR NW,SEAVIEW PL NW,32ND AVE NW",1793,N,2014/05/22 00:00:00+00,,,2997,3101,3000,Study - 13-15,,5464.80953205573
173,"9565,9563,9564",CALIFORNIA AVE SW,234,N,1970/01/01 00:00:00+00,,,13000,,13000,Estimate,,660.508284060165
174,"17253,17251,17255,17252,17254",NE 65TH ST,1636,N,2018/10/25 00:00:00+00,885,1050,11363,11002,11400,Study(Normalized),,765.269453764268
175,7880,6TH AVE,798,Y,2018/05/17 00:00:00+00,1152,288,8055,8129,7400,Study(Normalized),,425.843350412456
176,"8939,8938,8940",AURORA AVE N,1976,N,1970/01/01 00:00:00+00,,,50000,,50000,Estimate,,1303.55186359261
177,8158,7TH AVE,860,Y,2014/07/09 00:00:00+00,,,8618,7525,8600,Study - 13-15,,426.276249275907
178,"1846,1849,1848,1847",14TH AVE,863,N,2015/01/05 00:00:00+00,,,8996,0,9000,Study - 13-15,,1776.30687159066
179,17988,NE CAMPUS PKWY,1392,N,2018/06/15 00:00:00+00,195,227,2715,2496,2600,Study(Normalized),,285.006099650058
180,"16844,16846,16847,337051,16845",NE 45TH ST,1452,N,2014/10/21 00:00:00+00,,,33596,33189,33600,Study - 13-15,,761.415471196247
181,7233,5TH AVE,791,Y,2018/06/07 00:00:00+00,1351,1149,18043,18191,17600,Study(Normalized),,425.913180108147
182,7996,6TH AVE S,448,N,1970/01/01 00:00:00+00,,,13300,,13300,Estimate,,760.257107098485
183,1845,14TH AVE,747,N,2018/04/05 00:00:00+00,494,663,7822,7353,8000,Study(Normalized),,677.017196652605
184,"20818,20817,20820,20819,20821",S MCCLELLAN ST,434,N,2015/06/17 00:00:00+00,,,9153,8697,9200,Study - 13-15,,1158.30396142701
185,"14628,14629,14630,14632,14631,14633",E PINE ST,963,B,2015/07/27 00:00:00+00,,,9813,9836,9800,Study - 13-15,,1481.28217536934
186,"23138,23139",W BLAINE ST,1217,N,2018/06/27 00:00:00+00,109,130,1523,1460,1500,Study(Normalized),,606.506890938956
187,"23558,23557,23559",W MCGRAW ST,1239,N,2015/01/13 00:00:00+00,,,6051,5674,6100,Study - 13-15,,991.187955951033
188,"5896,5898,5895,5899,5897,11930,11931,336724,11929,11928,20822,20823,10977,275662,275661,275663,10975,10976","38TH AVE S,MOUNT RAINIER DR S,S MCCLELLAN ST,HUNTER BLVD S",361,N,2015/06/04 00:00:00+00,,,3297,3163,3300,Study - 13-15,,6926.96332023622
189,"18019,18021,18022,18023,18020",NE NORTHGATE WAY,1851,N,1970/01/01 00:00:00+00,,,17500,,17500,Estimate,,2193.81862300962
190,10668,GOLF DR S,2005,N,2017/11/15 09:45:00+00,1153,1329,15793,13916,15800,Study,,668.573312454364
191,14640,E PINE ST,955,N,2018/01/23 12:00:00+00,468,528,6589,6352,6600,Study,,364.081532601616
192,19416,S BAILEY ST,232,N,1970/01/01 00:00:00+00,,,28000,,28000,Estimate,,324.511630746416
193,13362,WALLINGFORD AVE N,1299,N,2018/04/18 00:00:00+00,262,273,2882,2659,3000,Study(Normalized),,419.699948180508
194,"21364,7383,12037","S SULLIVAN ST,5TH AVE S,OCCIDENTAL AVE S",140,N,2018/08/29 00:00:00+00,35,39,387,345,400,Study(Normalized),,3027.39717825492
195,"4991,5001,4993,4995,4989,4996,4992,4997,4998,4990,4999,4994,5000,4988",32ND AVE NW,1759,N,2015/11/16 00:00:00+00,,,4973,4931,5000,Study - 13-15,,3992.96202879031
196,"22250,22249,22248,22246,22247",SW GRAHAM ST,237,N,2018/06/28 00:00:00+00,147,196,2191,2084,2100,Study(Normalized),,1649.19947864248
197,12865,SPRING ST,759,Y,2015/03/05 00:00:00+00,,,2738,2546,2700,Study - 13-15,,324.3417298775
198,13946,E DENNY WAY,1033,B,1970/01/01 00:00:00+00,,,19500,,19500,Estimate,,269.578249232481
